INSTRUCTION, CurrentState, NextState, R0, R1, R2, R3, R4, R5, R6, R7
xxxx, 00, 12, xxxx, xxxx, xxxx, xxxx, xxxx, xxxx, xxxx, xxxx
0000, 00, 12, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000
200c, 1b, 12, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000
220c, 1b, 12, 000a, 0000, 0000, 0000, 0000, 0000, 0000, 0000
1401, 01, 12, 000a, 0014, 0000, 0000, 0000, 0000, 0000, 0000
0202, 00, 12, 000a, 0014, 001e, 0000, 0000, 0000, 0000, 0000
260b, 1b, 12, 000a, 0014, 001e, 0000, 0000, 0000, 0000, 0000
0e01, 00, 12, 000a, 0014, 001e, 8888, 0000, 0000, 0000, 0000
2608, 1b, 12, 000a, 0014, 001e, 8888, 0000, 0000, 0000, 0000
4802, 15, 12, 000a, 0014, 001e, ffff, 0000, 0000, 0000, 0000
1441, 01, 12, 000a, 0014, 001e, ffff, 0000, 0000, 0000, 0009
1441, 01, 12, 000a, 0014, 0028, ffff, 0000, 0000, 0000, 0009
c1c0, 0c, 12, 000a, 0014, 0028, ffff, 0000, 0000, 0000, 0009
e801, 0e, 12, 000a, 0014, 0028, ffff, 0000, 0000, 0000, 0009
4100, 14, 12, 000a, 0014, 0028, ffff, 000b, 0000, 0000, 0009
1441, 01, 12, 000a, 0014, 0028, ffff, 000b, 0000, 0000, 000b
1441, 01, 12, 000a, 0014, 0028, ffff, 000b, 0000, 0000, 000b
c1c0, 0c, 12, 000a, 0014, 0028, ffff, 000b, 0000, 0000, 000b
1441, 01, 12, 000a, 0014, 0028, ffff, 000b, 0000, 0000, 000b
1441, 01, 12, 000a, 0014, 0028, ffff, 000b, 0000, 0000, 000b
c1c0, 0c, 12, 000a, 0014, 0028, ffff, 000b, 0000, 0000, 000b
1441, 01, 12, 000a, 0014, 0028, ffff, 000b, 0000, 0000, 000b
1441, 01, 12, 000a, 0014, 0028, ffff, 000b, 0000, 0000, 000b
c1c0, 0c, 12, 000a, 0014, 0028, ffff, 000b, 0000, 0000, 000b
1441, 01, 12, 000a, 0014, 0028, ffff, 000b, 0000, 0000, 000b
1441, 01, 12, 000a, 0014, 0028, ffff, 000b, 0000, 0000, 000b
c1c0, 0c, 12, 000a, 0014, 0028, ffff, 000b, 0000, 0000, 000b
1441, 01, 12, 000a, 0014, 0028, ffff, 000b, 0000, 0000, 000b
1441, 01, 12, 000a, 0014, 0028, ffff, 000b, 0000, 0000, 000b
c1c0, 0c, 12, 000a, 0014, 0028, ffff, 000b, 0000, 0000, 000b
0000, 00, 12, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000
